pattern1
occurrence1
41.00000, 79.00000
42.00000, 78.00000
43.00000, 79.00000
44.00000, 74.00000
45.00000, 74.00000
46.00000, 69.00000
47.00000, 72.00000
occurrence2
53.00000, 79.00000
54.00000, 78.00000
55.00000, 78.00000
56.00000, 76.00000
57.00000, 74.00000
58.00000, 73.00000
59.00000, 72.00000
occurrence3
61.00000, 72.00000
62.00000, 71.00000
63.50000, 72.00000
64.00000, 67.00000
65.00000, 67.00000
66.00000, 67.00000
67.00000, 66.00000
occurrence4
79.00000, 78.00000
80.00000, 76.00000
81.00000, 74.00000
82.00000, 72.00000
83.00000, 72.00000
84.00000, 74.00000
85.00000, 71.00000
pattern2
occurrence1
23.00000, 74.00000
24.00000, 76.00000
25.00000, 72.00000
26.50000, 72.00000
27.00000, 69.00000
28.00000, 69.00000
29.00000, 69.00000
30.00000, 69.00000
31.00000, 69.00000
32.00000, 71.00000
33.00000, 71.00000
34.00000, 69.00000
35.00000, 72.00000
36.00000, 72.00000
37.00000, 72.00000
38.00000, 78.00000
39.00000, 74.00000
40.00000, 78.00000
41.00000, 79.00000
42.00000, 78.00000
43.00000, 79.00000
44.00000, 74.00000
45.00000, 74.00000
46.00000, 69.00000
47.00000, 72.00000
occurrence2
24.00000, 76.00000
25.00000, 72.00000
26.50000, 72.00000
27.00000, 69.00000
28.00000, 69.00000
29.00000, 69.00000
30.00000, 69.00000
31.00000, 69.00000
32.00000, 71.00000
33.00000, 71.00000
34.00000, 69.00000
35.00000, 72.00000
36.00000, 72.00000
37.00000, 72.00000
38.00000, 78.00000
39.00000, 74.00000
40.00000, 78.00000
41.00000, 79.00000
42.00000, 78.00000
43.00000, 79.00000
44.00000, 74.00000
45.00000, 74.00000
46.00000, 69.00000
47.00000, 72.00000
48.00000, 74.00000
occurrence3
61.00000, 72.00000
62.00000, 71.00000
63.50000, 72.00000
64.00000, 67.00000
65.00000, 67.00000
66.00000, 67.00000
67.00000, 66.00000
68.00000, 67.00000
69.00000, 69.00000
70.00000, 72.00000
71.50000, 72.00000
72.00000, 71.00000
73.00000, 69.00000
74.50000, 69.00000
75.00000, 71.00000
76.00000, 71.00000
77.00000, 72.00000
78.00000, 74.00000
79.00000, 78.00000
80.00000, 76.00000
81.00000, 74.00000
82.00000, 72.00000
83.00000, 72.00000
84.00000, 74.00000
85.00000, 71.00000
occurrence4
62.00000, 71.00000
63.50000, 72.00000
64.00000, 67.00000
65.00000, 67.00000
66.00000, 67.00000
67.00000, 66.00000
68.00000, 67.00000
69.00000, 69.00000
70.00000, 72.00000
71.50000, 72.00000
72.00000, 71.00000
73.00000, 69.00000
74.50000, 69.00000
75.00000, 71.00000
76.00000, 71.00000
77.00000, 72.00000
78.00000, 74.00000
79.00000, 78.00000
80.00000, 76.00000
81.00000, 74.00000
82.00000, 72.00000
83.00000, 72.00000
84.00000, 74.00000
85.00000, 71.00000
86.00000, 69.00000
occurrence5
69.00000, 69.00000
70.00000, 72.00000
71.50000, 72.00000
72.00000, 71.00000
73.00000, 69.00000
74.50000, 69.00000
75.00000, 71.00000
76.00000, 71.00000
77.00000, 72.00000
78.00000, 74.00000
79.00000, 78.00000
80.00000, 76.00000
81.00000, 74.00000
82.00000, 72.00000
83.00000, 72.00000
84.00000, 74.00000
85.00000, 71.00000
86.00000, 69.00000
87.00000, 72.00000
88.00000, 72.00000
89.00000, 71.00000
90.00000, 67.00000
91.00000, 60.00000
93.00000, 67.00000
pattern3
occurrence1
16.00000, 67.00000
17.00000, 67.00000
18.00000, 67.00000
19.00000, 69.00000
20.00000, 67.00000
21.00000, 70.00000
22.00000, 72.00000
23.00000, 74.00000
24.00000, 76.00000
25.00000, 72.00000
26.50000, 72.00000
27.00000, 69.00000
28.00000, 69.00000
29.00000, 69.00000
30.00000, 69.00000
31.00000, 69.00000
32.00000, 71.00000
33.00000, 71.00000
34.00000, 69.00000
35.00000, 72.00000
36.00000, 72.00000
occurrence2
28.00000, 69.00000
29.00000, 69.00000
30.00000, 69.00000
31.00000, 69.00000
32.00000, 71.00000
33.00000, 71.00000
34.00000, 69.00000
35.00000, 72.00000
36.00000, 72.00000
37.00000, 72.00000
38.00000, 78.00000
39.00000, 74.00000
40.00000, 78.00000
41.00000, 79.00000
42.00000, 78.00000
43.00000, 79.00000
44.00000, 74.00000
45.00000, 74.00000
46.00000, 69.00000
47.00000, 72.00000
48.00000, 74.00000
occurrence3
29.00000, 69.00000
30.00000, 69.00000
31.00000, 69.00000
32.00000, 71.00000
33.00000, 71.00000
34.00000, 69.00000
35.00000, 72.00000
36.00000, 72.00000
